      Step     Time          Energy          fmax
BFGS:    0 20:13:41      -28.537394        0.037149
BFGS:    1 20:13:41      -28.537460        0.036575
BFGS:    2 20:13:41      -28.539826        0.020093
BFGS:    3 20:13:42      -28.539862        0.019095
BFGS:    4 20:13:42      -28.539933        0.017714
BFGS:    5 20:13:42      -28.540140        0.014425
BFGS:    6 20:13:42      -28.540481        0.013341
BFGS:    7 20:13:42      -28.540894        0.016501
BFGS:    8 20:13:42      -28.541125        0.014165
BFGS:    9 20:13:42      -28.541185        0.012236
BFGS:   10 20:13:42      -28.541200        0.011862
BFGS:   11 20:13:42      -28.541224        0.011684
BFGS:   12 20:13:42      -28.541281        0.011961
BFGS:   13 20:13:42      -28.541390        0.013142
BFGS:   14 20:13:42      -28.541537        0.013826
BFGS:   15 20:13:42      -28.541641        0.011419
BFGS:   16 20:13:42      -28.541679        0.010652
BFGS:   17 20:13:42      -28.541693        0.011311
BFGS:   18 20:13:42      -28.541717        0.011831
BFGS:   19 20:13:42      -28.541778        0.012481
BFGS:   20 20:13:42      -28.541923        0.013109
BFGS:   21 20:13:42      -28.542235        0.013710
BFGS:   22 20:13:42      -28.542690        0.017957
BFGS:   23 20:13:43      -28.542992        0.017073
BFGS:   24 20:13:43      -28.543135        0.012696
BFGS:   25 20:13:43      -28.543158        0.010655
BFGS:   26 20:13:43      -28.543169        0.010061
BFGS:   27 20:13:43      -28.543218        0.007891
BFGS:   28 20:13:43      -28.543302        0.009572
BFGS:   29 20:13:43      -28.543446        0.009686
BFGS:   30 20:13:43      -28.543567        0.006699
BFGS:   31 20:13:43      -28.543613        0.007828
BFGS:   32 20:13:43      -28.543621        0.007646
BFGS:   33 20:13:43      -28.543624        0.007427
BFGS:   34 20:13:43      -28.543631        0.006951
BFGS:   35 20:13:43      -28.543647        0.006129
BFGS:   36 20:13:43      -28.543683        0.004904
BFGS:   37 20:13:43      -28.543741        0.005146
BFGS:   38 20:13:43      -28.543798        0.006022
BFGS:   39 20:13:43      -28.543822        0.006448
BFGS:   40 20:13:43      -28.543827        0.006301
BFGS:   41 20:13:43      -28.543830        0.006021
BFGS:   42 20:13:43      -28.543835        0.005315
BFGS:   43 20:13:43      -28.543844        0.004041
BFGS:   44 20:13:43      -28.543856        0.002522
BFGS:   45 20:13:43      -28.543866        0.002732
BFGS:   46 20:13:43      -28.543869        0.002783
BFGS:   47 20:13:43      -28.543869        0.002580
BFGS:   48 20:13:43      -28.543870        0.002406
BFGS:   49 20:13:43      -28.543871        0.002056
BFGS:   50 20:13:43      -28.543873        0.001698
BFGS:   51 20:13:43      -28.543877        0.001611
BFGS:   52 20:13:43      -28.543882        0.001427
BFGS:   53 20:13:43      -28.543884        0.000617
BFGS:   54 20:13:43      -28.543885        0.000132
